user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
What is the significance of the MARPLEX Convention that was concluded in Montreel on 1st March 1991?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\nprovision;\n“limited liability partnership” has the meaning given by the Limited Liability \nPartnerships Act (Cap. 163A);\n“MARPLEX Convention” means —\n(a) the Convention on the Marking of Plastic Explosives for the Purpose \nof Detection concluded in Montreal on 1st March 1991; or\n(b) if the Convention in paragraph (a) is amended and the amendment \nbinds Singapore, that Convention as so amended;\n“MARPLEX Convention excepted use”, in relation to a plastic explosive, means \nuse of the plastic explosive exclusively for one or more of the following:\n(a) research, development or testing of new or modified explosives;\n(b) development or testing of explosives detection equipment;\n(c) training in explosives detection;\n(d) forensic science;\n“modification” or “modify”, in relation to the conditions of a licence, includes \ndeleting, or varying and substituting a condition, and adding a condition;\n“noxious substance” means any nauseating or lachrymatory substance, and \nincludes any of the following:\n(a) a container specially constructed to directly hold any noxious \nsubstance, such as a cartridge, cylinder, pressurised can or round \ncontaining a noxious substance;\n(b) an object or a thing that, if used in the way for which it is or was \ndesigned or adapted, is or was capable of being aimed at a target and \ncausing hurt or injury by discharging any noxious substance directly \nonto the target, such as a pepper spray gun or cannister;\n“occupier”, in relation to any place or premises, includes an individual present at \nthe place or premises who is in apparent control of the place or premises;\n“offence under this Act” includes an offence under any Regulations;\n“officer”, in relation to an applicant or a class licensee or licensee, means —\n(a) where the applicant, class licensee or licensee is a body corporate \n(including a limited liability partnership) —']","The MARPLEX Convention refers to the Convention on the Marking of Plastic Explosives for the Purpose of Detection, which was concluded in Montreal on 1st March 1991. It aims to establish regulations regarding the marking of plastic explosives to facilitate their detection.",Compliance Officer,MISSPELLED,LONG,single_hop_specific_query_synthesizer
What is a limted partnershp in relation to a limited partnership?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n(i) an individual for the time being holding the office of \nchairperson, director, partner, chief executive officer, \nmanager or company secretary (as the case may be) of the \nbody or any position analogous to any of those offices; or\n(ii) for a corporation whose affairs are managed by its members, \nany of those members as if the member were a director of \nthe corporation;\n(b) where the applicant, class licensee or licensee is a partnership \n(including a limited partnership), a partner of the partnership; or\n(c) where the applicant, class licensee or licensee is an unincorporated \nassociation (other than a partnership), an individual for the time being \nholding the office of president, secretary or member (as the case may \nbe) of the committee of the unincorporated association, or any \nposition analogous to any of those offices,\nand includes any person carrying out the duties of any such office referred to in \nparagraph (a), (b) or (c) if the office is vacant;\n“paintball” means a projectile that primarily consists of a dye, paint or similar \nsubstance designed to mark an individual or an object;\n“paintball marker” means a gun designed to discharge a paintball;\n“paintball range operator” means a person who carries on the business of providing \nor arranging for the provision of grounds for the use by participants in an \norganised activity involving the use of paintball markers (but not involving the \nuse of any other gun);\n“partner”, in relation to a limited partnership, includes a limited partner in the \nlimited partnership;\n“place” includes any conveyance;\n“premises” means —\n(a) a building or structure, whether permanent, temporary or portable;\n(b) any area or space, whether or not enclosed, and whether underground \nor underwater;\n(c) any land, whether built on or not; or\n(d) any body of water;']","In relation to a limited partnership, a 'partner' includes a limited partner in the limited partnership.",Regulatory Compliance Officer,MISSPELLED,SHORT,single_hop_specific_query_synthesizer
Wht is the definshun of a prohibited weapon in Singapore?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n“prohibited weapon” means a weapon that —\n(a) is particularly dangerous by reason of its design, construction or any \nother factor; or\n(b) by reason of its size or any other factor, could be more readily \nconcealed and would be particularly suited to unlawful use,\nsuch that, in the opinion of the Minister, it is expedient for the public safety to \nprescribe the weapon to be a prohibited weapon;\n“provision of this Act” includes a provision of any Regulations or other subsidiary \nlegislation made under this Act;\n“public authority” means —\n(a) any Ministry, department of the Government or Organ of State; or\n(b) any body established or constituted by or under any public Act to \nperform a public function;\n“regulated activity” means any of the following activities involving a gun, a major \npart of a gun or a gun accessory, an explosive or explosive precursor, or a \nweapon or noxious substance:\n(a) import or export;\n(b) store (but not storage incidental to conveyance);\n(c) manufacture;\n(d) repair;\n(e) supply;\n(f) convey;\n(g) use or otherwise possess;\n(h) dispose;\n(i) operate a shooting range or paintball range;\n“Regulations” means any regulations made under section 90;\n“regulatory action” means any action that may be taken by the Licensing \nOfficer — \n(a) under section 66(1) or (2) against a licensee or class licensee; or\n(b) under section 67(2) against a former licensee or former class licensee;']","A prohibited weapon in Singapore is defined as a weapon that is particularly dangerous due to its design, construction, or any other factor, or one that could be more readily concealed and is particularly suited to unlawful use, such that it is deemed expedient for public safety to prescribe it as a prohibited weapon.",Regulatory Compliance Officer,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
What is the definition of a responsible executive in relation to a corporation according to the regulations?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n“repeat offender”, in relation to any offence under this Act, means a person who —\n(a) is convicted, or found guilty, of such an offence (called the current \noffence); and\n(b) has been convicted or found guilty, on at least one other earlier \noccasion within the period of 5 years immediately before the date on \nwhich the person is convicted or found guilty of the current offence, \nof —\n(i) the same offence; or\n(ii) another offence prescribed in this Act as a countable offence \nin respect of the current offence;\n“representative staff”, for a licensee, means an individual (whether or not an \nemployee or officer of the licensee) who —\n(a) is directly involved in the day-to-day management of a regulated \nactivity carried on by the licensee;\n(b) has access to and is authorised to provide any information relating to \nthe regulated activity that is required by or under any provision of this \nAct; and\n(c) is authorised to represent for the purposes of this Act the licensee;\n“responsible executive”, in relation to an applicant or a class licensee or licensee, \nmeans an officer thereof who is —\n(a) in the case of a corporation, a director, chief executive officer, general \nmanager or a person in a position analogous to any of those offices;\n(b) in the case of a corporation whose affairs are managed by its \nmembers, a member designated by those members to be the \nresponsible executive of the corporation;\n(c) in the case of a partnership (including a limited partnership), a partner \nof the partnership; or\n(d) in the case of a society or an unincorporated association (other than a \npartnership), a president, secretary or treasurer or a person in a \nposition analogous to that of a president, secretary or treasurer,\nand includes any person carrying out the duties of any such office referred to in \nparagraph (a), (c) or (d) if the office is vacant;']","A responsible executive, in relation to a corporation, is defined as an officer who is a director, chief executive officer, general manager, or a person in a position analogous to any of those offices.",Compliance Officer,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
What does Part 3 define regarding security clearance?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n“security clearance” means a security clearance granted under Division 2 of Part 3;\n“security sensitive information” means information held by a law enforcement \nagency that relates to actual or suspected criminal activity (whether in \nSingapore or elsewhere) the disclosure of which could reasonably be expected \nto —\n(a) prejudice a criminal investigation;\n(b) enable the discovery of the existence or identity of a confidential \nsource of information relevant to law enforcement;\n(c) endanger a person’s life or physical safety; or\n(d) disclose the existence or content of a security intelligence report or \ninformation;\n“shooting gallery” means an indoor or outdoor gallery at which members of the \npublic can use an airgun that is attached to a shooting bench to shoot at \nstationary or moving targets;\n“shooting range” includes a shooting gallery;\n“shooting range operator” means a person who carries on the business of providing \na shooting range (but not a paintball range) for use by members of the public \nand guns (other than paintball markers) for use by members of the public at the \nrange;\n“special worker” means an individual who is or is to be employed or required to \nwork with or for a licensee —\n(a) in a managerial or directorial capacity involving the exercise of his or \nher discretion, that regulates the licensee’s operations in the regulated \nactivity authorised by the licensee’s licence but is not a responsible \nexecutive; or\n(b) in any capacity relating to any of the following activities:\n(i) the security and surveillance of the premises where the \nlicensee is authorised to conduct the regulated activity \nauthorised by the licensee’s licence;\n(ii) the assembling, cleaning, repair, packing, transport or \ndelivery of any gun, major part of a gun, gun accessory, \nexplosive, explosive precursor, weapon or noxious \nsubstance, in the course of the licensee’s operations']",Part 3 defines 'security clearance' as a security clearance granted under Division 2 of Part 3.,Regulatory Compliance Officer,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
What does the term 'store' refer to in the context of Singapore's regulations on firearms and explosives?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\nauthorised by the licensee’s licence;\n(iii) such other activity authorised by the licensee’s licence that \nis prescribed for the purposes of this definition;\n(iv) the supervision of any activity in sub-paragraph (i), (ii) or \n(iii);\n“standard” means a standard issued or approved by the Licensing Officer under \nsection 62, and includes any such standard as amended from time to time under \nthat section;\n“store”, in relation to any gun, major part of a gun, explosive or explosive \nprecursor, means —\n(a) to store or offer to store for another person in any place or premises \nthe gun, major part of a gun, explosive or explosive precursor \n(regardless of number or quantity), being a place or premises that the \nperson storing or offering to store is an occupier of; or\n(b) to have possession of the gun, major part of a gun, explosive or \nexplosive precursor in any place or premises, whether or not of the \nsame model or kind and regardless of number or quantity —\n(i) for the purpose of manufacture, repair, disposal, supply, \nimport or export; or\n(ii) in connection with carrying on business as a shooting range \noperator or a paintball range operator,\nbeing a place or premises that the person storing or having possession \nis an occupier of,\nand includes —\n(c) in the case of any explosive or explosive precursor, possession \nthereof —\n(i) for or in connection with any other purpose; and\n(ii) for more than 24 continuous hours in any place or premises \nthat the person in possession is an occupier of; and\n(d) in the case of any gun or major part of a gun, to have the control or \nmanagement of for any purpose, or to collect or keep a collection of']","'Store', in relation to any gun, major part of a gun, explosive or explosive precursor, means to store or offer to store for another person in any place or premises the gun, major part of a gun, explosive or explosive precursor, regardless of number or quantity, being a place or premises that the person storing or offering to store is an occupier of.",Compliance Officer,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
What is the definition of a weapon according to the Singapore Statutes?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n(for display or otherwise), on any place or premises —\n(i) 12 or more guns, whether or not of the same model or kind;\n(ii) 12 or more major parts of a gun, whether or not of the same \nmodel or kind; or\n(iii) a combination of guns or major parts of a gun which number \nin total 12 or more,\nbeing a place or premises that the person with the control or \nmanagement or collecting or keeping the collection is an occupier of;\n“substance” means any natural or artificial substance, whether in solid or liquid \nform or in the form of a gas or vapour;\n“thing” includes a substance;\n“unincorporated association” means a society or body unincorporate which, under \nany written law, may sue or be sued, or hold property, in the name of an officer \nof the society or body duly appointed for that purpose;\n“use”  —\n(a) in relation to a gun, means —\n(i) to fire the gun; or\n(ii) to hold the gun so as to cause a reasonable belief that it will \nbe fired, whether or not it is capable of being fired; and\n(b) in relation to an explosive, includes —\n(i) to prepare, assemble, charge or discharge, or fire the \nexplosive; or\n(ii) to initiate or discharge a firework,\nbut excludes use for the purpose of manufacture, disposal, repair, \nimport, export, conveyance or supply;\n“weapon” means an object or a thing specified in the First Schedule;\n“wrapping”, in relation to a plastic explosive, means a wrapper the inner surface of \nwhich is in contact with the plastic explosive.\n(2)  Regulations may be made to reduce any period and number mentioned in \nparagraphs (c) and (d), respectively, of the definition of “store”.']",A weapon is defined as an object or a thing specified in the First Schedule of the Singapore Statutes.,Regulatory Compliance Officer,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
What does the term 'gun' refer to in the context of the Singapore Statutes Online?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n(3)  However, for the purposes of this Act, a person is not taken to store any object or \nthing by reason only that it is storage in transit or other like operation incidental to the \nwhole course of carriage of that object or thing.\n(4)  For the purposes of this Act —\n(a) a licensee is not regarded as being granted a licence to carry on any \nregulated activity involving a gun, a major part of a gun or a gun \naccessory, an explosive or explosive precursor, or a weapon or noxious \nsubstance, or a shooting range or paintball range, during the period the \nlicence for that regulated activity is suspended under section 66; and\n(b) a class licensee is not regarded as authorised under a class licence to carry \non any regulated activity involving a gun, a major part of a gun or a gun \naccessory, an explosive or explosive precursor, or a weapon or noxious \nsubstance, or a shooting range or paintball range, during the period the \napplication of the class licence to that class licensee for that regulated \nactivity is suspended under section 66.\nMeaning of “gun” and associated terms\n3.—(1)  In this Act, unless the context otherwise requires, “gun” means an object or a \nthing that, if used in the way for which it is or was designed or adapted, is or was capable \nof being aimed at a target and causing hurt or injury by —\n(a) propelling a bullet, shot or other projectile (which may or may not contain \nany noxious substance); or\n(b) discharging any corrosive substance or poison,\nby means of a burning propellant, compressed air or other compressed gas, or an \nexplosive force (however caused), and includes any of the following:\n(c) an object or a thing mentioned in subsection (2)(a);\n(d) a collection of major parts of a gun mentioned in subsection (2)(b).\nExamples\n     An electronic dart gun.\n     A ballistic knife.\n     A handgun or revolver.']","In the context of the Singapore Statutes Online, the term 'gun' refers to an object or thing that, if used as designed, is capable of being aimed at a target and causing hurt or injury by propelling a bullet, shot, or other projectile, or discharging any corrosive substance or poison, using a burning propellant, compressed air, or other means. It includes various items such as an electronic dart gun, a ballistic knife, and handguns or revolvers.",Regulatory Compliance Officer,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
What types of firearms are regulated under Singapore's statutes?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n     An automatic gun or pistol.\n     A spear gun.\n     A stun gun or taser.\n     A firearm designed to fire projectiles containing tear gas or poison.\n     A firearm designed to tranquillise, immobilise or administer vaccines or other \nmedicines to animals.\n     A howitzer, mortar, bazooka and similar military firearms designed to fire explosive \nprojectiles.\n     A machine gun or sub-machine gun.\n     A self-loading rifle or shotgun.\n     A paint-pellet gun or paintball marker.\n     An airgun.\n     A starting pistol the purpose of which is for use in the starting of racing events in \nsporting competitions.\n(2)  For the purposes of this Act —\n(a) an object or a thing that would be a gun —\n(i) if it did not have something missing from it, or a defect or \nobstruction in it; or\n(ii) if it were not for the fact that something has been added to it,\nmust be taken to be a gun;\n(b) a collection of the major parts of a gun that if assembled would be a gun \n(or would be a gun if it were assembled and in working order) is taken to \nbe a gun; and\n(c) a reference to a gun of a particular category or kind includes a reference to \nan object or a thing that would be a gun of that category or kind if not for \nparagraph (a)(i) or (ii).\n(3)  In this Act, “major part of a gun” means any component —\n(a) that, of itself, is essential to the discharge of any shot, bullet, missile, or']","Under Singapore's statutes, the following types of firearms are regulated: an automatic gun or pistol, a spear gun, a stun gun or taser, a firearm designed to fire projectiles containing tear gas or poison, a firearm designed to tranquillise, immobilise or administer vaccines or other medicines to animals, a howitzer, mortar, bazooka and similar military firearms designed to fire explosive projectiles, a machine gun or sub-machine gun, a self-loading rifle or shotgun, a paint-pellet gun or paintball marker, an airgun, and a starting pistol used for racing events in sporting competitions.",Compliance Officer,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
What definitions related to firearms can be found in the Singapore Statutes Online?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\nother projectile from the gun;\n(b) that is exclusively designed to be, or is intended to be, an integral part of \nthe gun, without which the gun would be considered inoperable or \nincomplete; or\n(c) that feeds or contributes to feeding ammunition to the gun.\nExamples\n     A gas piston, friction ring, action bar, breech bolt or breech block.\n     A firearm barrel.\n     A trigger or firing mechanism.\n     A frame or receiver.\n     A slide.\n     An upper or a lower receiver.\n     A revolving cylinder.\n     A bolt carrier.\n     An adjustable, detachable or folding stock.\n(4)  However, “gun” does not include the following:\n(a) a longbow, crossbow, slingshot or shanghai;\n(b) an object or a thing that, if used in the way for which it is or was designed \nor adapted, is or was capable of being aimed at a target and causing hurt or \ninjury by discharging any noxious substance directly onto the target, such \nas a pepper spray gun or cannister;\n(c) an imitation gun, which is an object that, regardless of its colour, weight or \ncomposition or the presence or absence of any moveable part, substantially \nduplicates in appearance a gun but that is not a gun;\n(d) any other object or thing prescribed not to be a gun.\n(5)  In this Act, unless the context otherwise requires —\n“airgun” means a gun that —']","The Singapore Statutes Online provides definitions related to firearms, including what constitutes a 'gun' and what does not. For instance, a 'gun' is defined as an object that is designed to be, or is intended to be, an integral part of the gun, without which the gun would be considered inoperable or incomplete. Examples include a gas piston, firearm barrel, trigger, and frame. However, the term 'gun' does not include longbows, crossbows, slingshots, imitation guns, or any other object prescribed not to be a gun.",Regulatory Compliance Officer,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
